STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
999999,23160, 19460601,   78.7,17,   28.1,17, 1006.8,17,  921.0,17,  49.7,17,   4.6,17,   8.9, 999.9,   93.9*,  63.0*, 0.00I,999.9, 000000,
999999,23160, 19460718,   76.8,24,   66.3,24, 1012.2,24,  925.9,24,  44.9,24,   6.4,24,  22.0, 999.9,   93.9*,  70.0*,99.99 ,999.9, 010010,
999999,23160, 19460719,   78.3,24,   66.0,24, 1012.9,24,  926.3,24,  42.3,24,   4.9,24,  14.0, 999.9,   93.0*,  69.1*,99.99 ,999.9, 010010,
999999,23160, 19460804,   78.9,24,   66.1,24, 1013.5,24,  927.0,24,  37.5,24,   5.6,24,  15.9, 999.9,   95.0*,  68.0*,99.99 ,999.9, 010010,
999999,23160, 19460810,   79.4,24,   65.5,24, 1011.9,24,  925.9,24,  42.7,24,   6.9,24,  19.0, 999.9,   93.0*,  72.0*,99.99 ,999.9, 010010,
999999,23160, 19460812,   78.7,24,   66.1,24, 1013.9,24,  927.4,24,  49.5,24,   5.2,24,  13.0, 999.9,   91.0*,  71.1*, 0.00I,999.9, 000000,
999999,23160, 19460830,   77.0,24,   66.3,24, 1012.7,24,  926.2,24,  42.7,24,   6.5,24,  22.9, 999.9,   89.1*,  71.1*,99.99 ,999.9, 010010,
999999,23160, 19460831,   78.1,24,   64.2,24, 1011.7,24,  925.4,24,  46.4,24,   6.4,24,  14.0, 999.9,   90.0*,  68.0*,99.99 ,999.9, 010010,
999999,23160, 19460916,   77.1,24,   60.5,24, 1007.7,24,  921.7,24,  47.6,24,   7.6,24,  13.0, 999.9,   91.9*,  68.0*,99.99 ,999.9, 010010,
999999,23160, 19460917,   76.9,24,   61.8,24, 1007.5,24,  921.6,24,  46.2,24,   5.7,24,  12.0, 999.9,   90.0*,  70.0*,99.99 ,999.9, 010000,
999999,23160, 19460918,   70.4,24,   64.3,24, 1009.6,24,  922.7,24,  37.9,24,   6.2,24,  14.0, 999.9,   80.1*,  64.9*,99.99 ,999.9, 010000,
999999,23160, 19460919,   74.0,24,   66.6,24, 1012.6,24,  925.7,24,  30.4,24,   3.6,24,   7.0, 999.9,   86.0*,  68.0*,99.99 ,999.9, 010000,
999999,23160, 19460920,   76.6,24,   66.6,24, 1011.7,24,  925.3,24,  48.9,24,   5.2,24,  12.0, 999.9,   87.1*,  66.9*, 0.00I,999.9, 000000,
999999,23160, 19460921,   76.9,24,   62.6,24, 1007.0,24,  921.0,24,  49.7,24,   5.7,24,  12.0, 999.9,   88.0*,  64.9*, 0.00I,999.9, 000000,
999999,23160, 19460922,   76.5,24,   51.3,24, 1004.6,24,  918.7,24,  49.7,24,   5.9,24,  11.1, 999.9,   91.0*,  63.0*, 0.00I,999.9, 000000,
999999,23160, 19460923,   78.9,24,   49.2,24, 1006.9,24,  920.9,24,  49.7,24,   4.6,24,  10.1, 999.9,   97.0*,  64.0*, 0.00I,999.9, 000000,
999999,23160, 19460927,   76.5,24,   62.9,24, 1010.5,24,  924.2,24,  45.6,24,   6.0,24,  15.0, 999.9,   87.1*,  68.0*,99.99 ,999.9, 010010,
999999,23160, 19460928,   70.5,24,   62.7,24, 1012.3,24,  925.3,24,  39.1,24,   4.6,24,  10.1, 999.9,   82.0*,  64.0*,99.99 ,999.9, 010010,
999999,23160, 19460929,   73.6,24,   62.5,24, 1014.1,24,  927.1,24,  41.8,24,   9.1,24,  20.0, 999.9,   82.9*,  66.9*,99.99 ,999.9, 010010,
999999,23160, 19460930,   76.3,24,   56.9,24, 1014.3,24,  927.4,24,  46.4,24,  11.8,24,  20.0, 999.9,   87.1*,  70.0*, 0.00I,999.9, 000000,
999999,23160, 19461004,   67.4,24,   45.8,24, 1002.5,24,  916.2,24,  49.7,24,   7.2,24,  15.9, 999.9,   82.9*,  57.9*, 0.00I,999.9, 000000,
999999,23160, 19461005,   62.0,24,   39.9,24, 1008.5,24,  920.9,24,  49.7,24,   5.3,24,  12.0, 999.9,   78.1*,  51.1*, 0.00I,999.9, 000000,
999999,23160, 19461006,   64.0,24,   39.8,24, 1007.7,24,  920.4,24,  49.7,24,   5.4,24,  12.0, 999.9,   78.1*,  53.1*, 0.00I,999.9, 000000,
999999,23160, 19461007,   59.7,24,   37.5,24, 1011.1,24,  923.1,24,  49.7,24,   5.7,24,  15.9, 999.9,   73.0*,  45.0*, 0.00I,999.9, 000000,
999999,23160, 19461008,   62.4,24,   36.1,24, 1007.6,24,  920.0,24,  49.7,24,   6.0,24,  13.0, 999.9,   81.0*,  48.0*, 0.00I,999.9, 000000,
999999,23160, 19461009,   59.8,24,   41.2,24, 1008.1,24,  920.6,24,  45.2,24,   8.1,24,  26.0, 999.9,   77.0*,  53.1*,99.99 ,999.9, 010010,
999999,23160, 19461010,   58.6,24,   46.6,24, 1012.2,24,  923.9,24,  49.7,24,   4.5,24,  10.1, 999.9,   75.0*,  48.0*, 0.00I,999.9, 000000,
999999,23160, 19461011,   61.9,24,   42.4,24, 1014.7,24,  926.5,24,  49.7,24,   4.4,24,   8.9, 999.9,   75.9*,  46.0*, 0.00I,999.9, 000000,
999999,23160, 19461012,   63.6,24,   36.1,24, 1013.7,24,  925.7,24,  49.7,24,   6.0,24,  11.1, 999.9,   82.0*,  48.9*, 0.00I,999.9, 000000,
999999,23160, 19461013,   66.4,24,   40.6,24, 1012.0,24,  924.4,24,  49.7,24,   4.5,24,   8.9, 999.9,   84.0*,  53.1*, 0.00I,999.9, 000000,
999999,23160, 19461014,   69.9,24,   43.4,24, 1011.8,24,  924.6,24,  49.7,24,   5.2,24,   8.9, 999.9,   87.1*,  55.9*, 0.00I,999.9, 000000,
999999,23160, 19461015,   68.9,24,   44.6,24, 1013.4,24,  926.2,24,  49.7,24,   3.9,24,   6.0, 999.9,   82.9*,  55.0*, 0.00I,999.9, 000000,
999999,23160, 19461017,   62.8,24,   40.8,24, 1013.8,24,  926.0,24,  48.1,24,   5.1,24,  10.1, 999.9,   75.9*,  48.0*, 0.00I,999.9, 000000,
999999,23160, 19461018,   61.4,24,   36.2,24, 1013.3,24,  925.3,24,  48.9,24,   4.6,24,  10.1, 999.9,   79.0*,  48.0*, 0.00I,999.9, 000000,
999999,23160, 19461019,   64.2,24,   33.2,24, 1014.7,24,  926.6,24,  49.7,24,   5.4,24,  11.1, 999.9,   86.0*,  46.9*, 0.00I,999.9, 000000,
999999,23160, 19461020,   67.9,24,   39.2,24, 1015.0,24,  927.3,24,  48.5,24,   5.6,24,  10.1, 999.9,   86.0*,  55.0*, 0.00I,999.9, 000000,
999999,23160, 19461021,   68.4,24,   41.2,24, 1014.9,24,  927.4,24,  46.8,24,   4.1,24,   8.0, 999.9,   82.9*,  57.0*, 0.00I,999.9, 000000,
999999,23160, 19461023,   69.3,24,   42.9,24, 1012.7,24,  925.4,24,  49.7,24,   4.7,24,  13.0, 999.9,   82.9*,  59.0*, 0.00I,999.9, 000000,
999999,23160, 19461024,   66.2,24,   40.0,24, 1014.4,24,  926.8,24,  49.3,24,   5.5,24,  12.0, 999.9,   81.0*,  52.0*, 0.00I,999.9, 000000,
999999,23160, 19461025,   64.7,24,   37.7,24, 1013.6,24,  925.8,24,  48.9,24,   4.8,24,  10.1, 999.9,   82.0*,  50.0*, 0.00I,999.9, 000000,
999999,23160, 19461026,   67.5,24,   37.0,24, 1007.5,24,  920.4,24,  49.7,24,   5.7,24,  12.0, 999.9,   82.9*,  55.9*, 0.00I,999.9, 000000,
999999,23160, 19461027,   65.6,24,   40.7,24, 1009.0,24,  921.9,24,  42.9,24,   6.0,24,  12.0, 999.9,   80.1*,  60.1*,99.99 ,999.9, 010000,
999999,23160, 19461028,   64.1,24,   55.3,24, 1012.5,24,  924.7,24,  38.7,24,   7.1,24,  15.0, 999.9,   75.0*,  57.9*,99.99 ,999.9, 010000,
999999,23160, 19461029,   67.2,24,   54.7,24, 1011.3,24,  924.0,24,  45.4,24,   6.9,24,  14.0, 999.9,   72.0*,  63.0*,99.99 ,999.9, 010000,
999999,23160, 19461030,   58.1,24,   46.0,24, 1014.9,24,  926.6,24,  48.9,24,   3.6,24,   8.0, 999.9,   71.1*,  46.0*, 0.00I,999.9, 000000,
